goos: linux
goarch: amd64
pkg: github.com/marselester/systemd
cpu: Intel(R) Core(TM) i5-10600 CPU @ 3.30GHz
BenchmarkAuthExternal-2      	 2564978	       467.0 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2600227	       459.9 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2576848	       469.0 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2381898	       467.9 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2560722	       465.3 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2584651	       462.7 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2570078	       467.4 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2593015	       472.4 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2573936	       464.5 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2557804	       468.1 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2573782	       482.8 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2563797	       462.9 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2585934	       469.2 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2581780	       472.5 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2597912	       467.5 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2618511	       461.7 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2597744	       462.6 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2600995	       465.6 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2502513	       471.8 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2585283	       465.5 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2572099	       467.1 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2557942	       468.0 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2559330	       477.4 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2524318	       465.2 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2525766	       466.4 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2565834	       468.9 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2575413	       468.2 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2545765	       464.0 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2592477	       469.2 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2520285	       469.0 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2562249	       478.4 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2583552	       477.0 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2539257	       466.6 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2594310	       463.2 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2545294	       469.3 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2594353	       473.2 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2569698	       462.3 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2559732	       464.6 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2538943	       466.5 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2606904	       467.4 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2547968	       462.4 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2590468	       466.6 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2553057	       463.3 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2576654	       460.8 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2527393	       468.0 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2533520	       473.9 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2572039	       471.3 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2569531	       489.7 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2555697	       466.7 ns/op	      80 B/op	       3 allocs/op
BenchmarkAuthExternal-2      	 2572594	       465.7 ns/op	      80 B/op	       3 allocs/op
BenchmarkDecodeString-2      	21704950	        52.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	21384105	        53.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	22551984	        52.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	22309822	        53.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	22153822	        53.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	22110060	        52.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	22662362	        53.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	22603340	        53.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	22125824	        53.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	22441773	        53.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	22626765	        54.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	22165894	        52.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	22608207	        53.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	22122969	        53.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	22273578	        54.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	21838382	        52.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	22214337	        52.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	22369773	        52.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	21578650	        53.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	22187254	        53.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	22338834	        53.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	22331248	        52.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	21648086	        53.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	21936380	        53.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	22786239	        53.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	22811904	        52.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	21619432	        52.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	22152010	        53.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	21870846	        54.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	22448883	        53.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	22240581	        52.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	21509341	        52.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	22313168	        53.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	22211839	        53.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	22658138	        53.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	21933997	        52.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	22962316	        53.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	22777041	        52.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	22572726	        54.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	22060789	        53.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	22793242	        54.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	21442848	        52.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	22929793	        54.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	22665078	        52.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	21603334	        52.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	22825411	        53.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	22766479	        54.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	21927115	        52.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	22309566	        53.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeString-2      	22478023	        55.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	27502975	        42.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	27626176	        43.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	27330904	        43.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	28358938	        42.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	27944725	        42.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	26713017	        43.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	28334874	        43.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	27061443	        43.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	27468818	        42.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	27486769	        43.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	27859635	        43.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	26245653	        42.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	26397205	        43.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	27408480	        43.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	27998692	        43.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	27550647	        42.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	26528406	        43.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	27703204	        43.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	26957960	        42.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	28237024	        43.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	27835413	        43.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	28298407	        42.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	28240717	        43.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	25854644	        43.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	28308198	        43.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	27061718	        43.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	27704385	        43.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	27761517	        42.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	26621754	        43.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	28111278	        43.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	27869176	        42.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	28243862	        43.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	27600511	        43.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	27370717	        43.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	28464225	        43.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	27135151	        43.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	26914844	        43.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	27923978	        43.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	28369365	        42.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	28312549	        43.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	27927535	        43.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	27508348	        43.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	27069236	        43.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	27808004	        42.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	27739444	        43.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeBusLabel-2    	28034812	        42.63 ns/op	       0 B/op	       0 allocs/op
